[08:14:37] Loading models...
[08:15:00] Processing and tokenizing HH-RLHF dataset...
[08:37:40] Caching dataset to dataset_cache.pkl...
[08:37:41] Starting 10,000 Step DPO Run...
[08:39:16] Step 00010 | Loss: 0.691487 | Reward Acc: 0.5000
[08:39:20] Step 00020 | Loss: 0.688281 | Reward Acc: 0.5000
[08:39:24] Step 00030 | Loss: 0.689600 | Reward Acc: 0.5000
[08:39:28] Step 00040 | Loss: 0.689332 | Reward Acc: 1.0000
[08:39:32] Step 00050 | Loss: 0.692669 | Reward Acc: 0.5000
[08:39:36] Step 00060 | Loss: 0.695429 | Reward Acc: 0.5000
[08:39:40] Step 00070 | Loss: 0.705112 | Reward Acc: 0.0000
[08:39:44] Step 00080 | Loss: 0.703713 | Reward Acc: 0.0000
[08:39:48] Step 00090 | Loss: 0.683175 | Reward Acc: 0.5000
[08:39:52] Step 00100 | Loss: 0.665878 | Reward Acc: 1.0000
[08:39:56] Step 00110 | Loss: 0.689616 | Reward Acc: 0.5000
[08:39:59] Step 00120 | Loss: 0.651944 | Reward Acc: 0.5000
[08:40:03] Step 00130 | Loss: 0.698812 | Reward Acc: 0.0000
[08:40:07] Step 00140 | Loss: 0.658462 | Reward Acc: 1.0000
[08:40:11] Step 00150 | Loss: 0.642987 | Reward Acc: 1.0000
[08:40:15] Step 00160 | Loss: 0.677675 | Reward Acc: 0.5000
[08:40:19] Step 00170 | Loss: 0.713741 | Reward Acc: 0.5000
[08:40:23] Step 00180 | Loss: 0.694638 | Reward Acc: 0.5000
[08:40:27] Step 00190 | Loss: 0.678911 | Reward Acc: 1.0000
[08:40:31] Step 00200 | Loss: 0.684905 | Reward Acc: 0.5000
[08:40:35] Step 00210 | Loss: 0.667972 | Reward Acc: 0.5000
[08:40:39] Step 00220 | Loss: 0.680084 | Reward Acc: 0.5000
[08:40:43] Step 00230 | Loss: 0.662705 | Reward Acc: 0.5000
[08:40:47] Step 00240 | Loss: 0.639169 | Reward Acc: 1.0000
[08:40:51] Step 00250 | Loss: 0.691239 | Reward Acc: 0.5000
[08:40:55] Step 00260 | Loss: 0.788730 | Reward Acc: 0.0000
[08:40:59] Step 00270 | Loss: 0.724305 | Reward Acc: 0.0000
[08:41:03] Step 00280 | Loss: 0.649098 | Reward Acc: 1.0000
[08:41:07] Step 00290 | Loss: 0.624331 | Reward Acc: 0.5000
[08:41:10] Step 00300 | Loss: 0.630467 | Reward Acc: 0.5000
[08:41:14] Step 00310 | Loss: 0.698618 | Reward Acc: 0.0000
[08:41:18] Step 00320 | Loss: 0.735823 | Reward Acc: 0.0000
[08:41:22] Step 00330 | Loss: 0.592118 | Reward Acc: 0.5000
[08:41:26] Step 00340 | Loss: 0.687054 | Reward Acc: 0.5000
[08:41:30] Step 00350 | Loss: 0.632759 | Reward Acc: 0.5000
[08:41:34] Step 00360 | Loss: 0.699079 | Reward Acc: 0.5000
[08:41:38] Step 00370 | Loss: 0.807798 | Reward Acc: 0.0000
[08:41:42] Step 00380 | Loss: 0.694852 | Reward Acc: 0.5000
[08:41:46] Step 00390 | Loss: 0.691795 | Reward Acc: 0.5000
[08:41:50] Step 00400 | Loss: 0.715538 | Reward Acc: 0.5000
[08:41:54] Step 00410 | Loss: 0.711682 | Reward Acc: 0.0000
[08:41:58] Step 00420 | Loss: 0.621280 | Reward Acc: 0.5000
[08:42:02] Step 00430 | Loss: 0.731112 | Reward Acc: 0.0000
[08:42:06] Step 00440 | Loss: 0.735674 | Reward Acc: 0.0000
[08:42:10] Step 00450 | Loss: 0.685383 | Reward Acc: 0.5000
[08:42:14] Step 00460 | Loss: 0.687165 | Reward Acc: 1.0000
[08:42:18] Step 00470 | Loss: 0.566427 | Reward Acc: 1.0000
[08:42:22] Step 00480 | Loss: 0.712669 | Reward Acc: 0.5000
[08:42:26] Step 00490 | Loss: 0.652116 | Reward Acc: 1.0000
[08:42:30] Step 00500 | Loss: 0.795700 | Reward Acc: 0.5000
[08:42:30] Saving checkpoint to checkpoints/ckpt_step_500.pkl...
[08:42:34] Step 00510 | Loss: 0.709261 | Reward Acc: 0.5000
[08:42:38] Step 00520 | Loss: 0.686006 | Reward Acc: 0.5000
[08:42:42] Step 00530 | Loss: 0.720055 | Reward Acc: 0.5000
[08:42:46] Step 00540 | Loss: 0.669037 | Reward Acc: 1.0000
[08:42:50] Step 00550 | Loss: 0.648698 | Reward Acc: 0.5000
[08:42:54] Step 00560 | Loss: 0.595851 | Reward Acc: 0.5000
[08:42:58] Step 00570 | Loss: 0.440998 | Reward Acc: 1.0000
[08:43:02] Step 00580 | Loss: 0.769547 | Reward Acc: 0.0000
[08:43:05] Step 00590 | Loss: 0.785459 | Reward Acc: 0.5000
[08:43:09] Step 00600 | Loss: 0.576047 | Reward Acc: 1.0000
[08:43:13] Step 00610 | Loss: 0.649529 | Reward Acc: 0.5000
[08:43:17] Step 00620 | Loss: 0.593495 | Reward Acc: 1.0000
[08:43:21] Step 00630 | Loss: 0.686060 | Reward Acc: 0.5000
[08:43:25] Step 00640 | Loss: 0.715431 | Reward Acc: 0.5000
[08:43:29] Step 00650 | Loss: 0.504399 | Reward Acc: 1.0000
[08:43:33] Step 00660 | Loss: 0.829816 | Reward Acc: 0.5000
[08:43:37] Step 00670 | Loss: 0.597116 | Reward Acc: 1.0000
[08:43:41] Step 00680 | Loss: 0.641637 | Reward Acc: 0.5000
[08:43:45] Step 00690 | Loss: 0.516285 | Reward Acc: 0.5000
[08:43:49] Step 00700 | Loss: 0.743809 | Reward Acc: 0.0000
[08:43:53] Step 00710 | Loss: 0.598009 | Reward Acc: 0.5000
[08:43:57] Step 00720 | Loss: 0.440201 | Reward Acc: 1.0000
[08:44:01] Step 00730 | Loss: 0.708204 | Reward Acc: 0.5000
[08:44:05] Step 00740 | Loss: 0.687617 | Reward Acc: 0.5000
[08:44:09] Step 00750 | Loss: 0.599091 | Reward Acc: 0.5000
[08:44:13] Step 00760 | Loss: 0.769513 | Reward Acc: 0.0000
[08:44:17] Step 00770 | Loss: 0.734167 | Reward Acc: 0.5000
[08:44:21] Step 00780 | Loss: 0.543990 | Reward Acc: 0.5000
[08:44:25] Step 00790 | Loss: 0.572755 | Reward Acc: 0.5000
[08:44:29] Step 00800 | Loss: 0.516277 | Reward Acc: 1.0000
[08:44:33] Step 00810 | Loss: 0.914229 | Reward Acc: 0.5000
[08:44:37] Step 00820 | Loss: 0.944341 | Reward Acc: 0.5000
[08:44:41] Step 00830 | Loss: 0.648070 | Reward Acc: 0.5000
[08:44:45] Step 00840 | Loss: 0.834636 | Reward Acc: 0.0000
[08:44:49] Step 00850 | Loss: 0.660299 | Reward Acc: 1.0000
[08:44:52] Step 00860 | Loss: 0.585726 | Reward Acc: 1.0000
[08:44:56] Step 00870 | Loss: 0.691005 | Reward Acc: 0.5000
[08:45:00] Step 00880 | Loss: 0.516033 | Reward Acc: 0.5000
[08:45:04] Step 00890 | Loss: 0.921706 | Reward Acc: 0.0000
[08:45:08] Step 00900 | Loss: 0.576051 | Reward Acc: 0.5000
[08:45:12] Step 00910 | Loss: 0.773124 | Reward Acc: 0.0000
[08:45:16] Step 00920 | Loss: 0.672479 | Reward Acc: 0.5000
[08:45:20] Step 00930 | Loss: 0.820502 | Reward Acc: 0.0000
[08:45:24] Step 00940 | Loss: 0.650775 | Reward Acc: 1.0000
[08:45:28] Step 00950 | Loss: 0.630166 | Reward Acc: 1.0000
[08:45:32] Step 00960 | Loss: 0.667079 | Reward Acc: 0.5000
[08:45:36] Step 00970 | Loss: 0.623995 | Reward Acc: 0.5000
[08:45:40] Step 00980 | Loss: 0.402950 | Reward Acc: 1.0000
[08:45:44] Step 00990 | Loss: 0.601527 | Reward Acc: 1.0000
[08:45:48] Step 01000 | Loss: 0.847907 | Reward Acc: 0.0000
[08:45:48] Saving checkpoint to checkpoints/ckpt_step_1000.pkl...
[08:45:52] Step 01010 | Loss: 0.681338 | Reward Acc: 0.5000
[08:45:56] Step 01020 | Loss: 0.647464 | Reward Acc: 1.0000
[08:46:00] Step 01030 | Loss: 0.893227 | Reward Acc: 0.0000
[08:46:04] Step 01040 | Loss: 0.602413 | Reward Acc: 0.5000
[08:46:08] Step 01050 | Loss: 0.558650 | Reward Acc: 0.5000
[08:46:12] Step 01060 | Loss: 0.673834 | Reward Acc: 1.0000
[08:46:16] Step 01070 | Loss: 0.631762 | Reward Acc: 0.5000
[08:46:20] Step 01080 | Loss: 0.656608 | Reward Acc: 0.5000
[08:46:24] Step 01090 | Loss: 0.774569 | Reward Acc: 0.5000
[08:46:28] Step 01100 | Loss: 0.772843 | Reward Acc: 0.0000
[08:46:32] Step 01110 | Loss: 0.698141 | Reward Acc: 0.5000
[08:46:36] Step 01120 | Loss: 0.732959 | Reward Acc: 0.5000
[08:46:39] Step 01130 | Loss: 0.752220 | Reward Acc: 0.0000
[08:46:43] Step 01140 | Loss: 0.742356 | Reward Acc: 0.0000
[08:46:47] Step 01150 | Loss: 0.722544 | Reward Acc: 0.0000
[08:46:51] Step 01160 | Loss: 0.697778 | Reward Acc: 0.5000
[08:46:55] Step 01170 | Loss: 0.636799 | Reward Acc: 0.5000
[08:46:59] Step 01180 | Loss: 0.438069 | Reward Acc: 1.0000
[08:47:03] Step 01190 | Loss: 0.509510 | Reward Acc: 1.0000
[08:47:07] Step 01200 | Loss: 0.723242 | Reward Acc: 0.5000
[08:47:11] Step 01210 | Loss: 0.639922 | Reward Acc: 1.0000
[08:47:15] Step 01220 | Loss: 1.132246 | Reward Acc: 0.5000
